2024-03-10 13:38:59.991 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2024-03-10 13:38:59.991 [info] Added views:workbench.panel.output in workbench.panel.output
2024-03-10 13:38:59.991 [info] Added views:terminal in terminal
2024-03-10 13:38:59.991 [info] Added views:outline in workbench.view.explorer
2024-03-10 13:38:59.991 [info] Added views:workbench.scm in workbench.view.scm
2024-03-10 13:38:59.991 [info] Added views:workbench.view.search in workbench.view.search
2024-03-10 13:38:59.991 [info] Added views:timeline in workbench.view.explorer
2024-03-10 13:38:59.991 [info] Added views:workbench.explorer.emptyView in workbench.view.explorer
2024-03-10 13:39:00.131 [info] Added views:workbench.debug.welcome in workbench.view.debug
2024-03-10 13:39:00.416 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2024-03-10 13:39:00.555 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2024-03-10 13:39:37.587 [info] Added views:workbench.views.extensions.installed,workbench.views.extensions.popular,extensions.recommendedList in workbench.view.extensions
2024-03-10 13:39:37.590 [info] Removed views:workbench.views.extensions.popular from workbench.view.extensions
2024-03-10 13:39:39.984 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 13:39:39.988 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 13:43:32.892 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 13:43:32.902 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 13:43:34.274 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 13:43:34.280 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 13:45:07.196 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 13:45:07.203 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 13:45:08.226 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 13:45:08.230 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 13:48:32.701 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 13:48:32.711 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 13:48:33.551 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 13:48:33.555 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 13:48:57.628 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 13:48:57.634 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 13:48:58.936 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 13:48:58.940 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 13:50:11.499 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 13:50:11.539 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 13:50:46.142 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 13:50:46.146 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 14:00:26.103 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 14:00:26.111 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 14:00:27.368 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 14:00:27.372 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 14:05:02.773 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 14:05:02.779 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 14:05:03.597 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 14:05:03.601 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 14:05:15.362 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 14:05:15.367 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 14:05:17.194 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 14:05:17.197 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 14:05:25.178 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 14:05:25.218 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 14:05:26.783 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 14:05:26.786 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
2024-03-10 14:05:46.375 [info] Removed views:workbench.views.extensions.marketplace from workbench.view.extensions
2024-03-10 14:05:46.381 [info] Added views:workbench.views.extensions.installed,extensions.recommendedList in workbench.view.extensions
2024-03-10 14:05:48.266 [info] Removed views:extensions.recommendedList,workbench.views.extensions.installed from workbench.view.extensions
2024-03-10 14:05:48.269 [info] Added views:workbench.views.extensions.marketplace in workbench.view.extensions
